english_sentence,alc_statement
Every person that designs a library is a publication.,Person ⊓ ∃designs.Library ⊑ Publication
Every person is a publication that funds at least one teacher.,Person ⊑ Publication ⊓ ∃funds.Teacher
A employee and a company.,Employee ⊓ Company
A car cannot be a publication.,Car ⊑ ¬Publication
Anything that manages a publication.,∃manages.Publication
Every book is both a food and a account.,Book ⊑ Food ⊓ Account
Whatever is both a publication and a university reads a doctor.,Publication ⊓ University ⊑ ∃reads.Doctor
Every country is either a employee or a invoice.,Country ⊑ Employee ⊔ Invoice
A person and a library.,Person ⊓ Library
Every scientist that buys a car is a product.,Scientist ⊓ ∃buys.Car ⊑ Product
Each plant manages a supplier.,Plant ⊑ ∃manages.Supplier
Anything that works for only cars.,∀worksFor.Car
Every student is a music that maintains only courses.,Student ⊑ Music ⊓ ∀maintains.Course
A customer or a scientist.,Customer ⊔ Scientist
A school has child exclusively vehicles.,School ⊑ ∀hasChild.Vehicle
All companys are citys as well as softwares.,Company ⊑ City ⊓ Software
Anything that treats only suppliers.,∀treats.Supplier
A doctor reads exclusively books.,Doctor ⊑ ∀reads.Book
Anything that knows a university.,∃knows.University
Each teacher delivers a customer.,Teacher ⊑ ∃delivers.Customer
Every project uses at least one doctor.,Project ⊑ ∃uses.Doctor
Every supplier produces something that is both a food and a employee.,Supplier ⊑ ∃produces.(Food ⊓ Employee)
A organization funds exclusively countrys.,Organization ⊑ ∀funds.Country
All products are orders.,Product ⊑ Order
Every animal is a scientist that delivers only books.,Animal ⊑ Scientist ⊓ ∀delivers.Book
Every plant is both a device and a invoice.,Plant ⊑ Device ⊓ Invoice
A music or a scientist.,Music ⊔ Scientist
Each book supervises a publication.,Book ⊑ ∃supervises.Publication
A order cannot be a researcher.,Order ⊑ ¬Researcher
A country cannot be a vehicle.,Country ⊑ ¬Vehicle
A cat cannot be a music.,Cat ⊑ ¬Music
Every project is either a company or a library.,Project ⊑ Company ⊔ Library
Every university is a artist that operates only teachers.,University ⊑ Artist ⊓ ∀operates.Teacher
Every hospital that maintains only scientists is a library.,Hospital ⊓ ∀maintains.Scientist ⊑ Library
No engineer is a invoice.,Engineer ⊑ ¬Invoice
Every account is both a transaction and a animal.,Account ⊑ Transaction ⊓ Animal
Every scientist is a device that supervises only librarys.,Scientist ⊑ Device ⊓ ∀supervises.Library
All hardwares are cars as well as books.,Hardware ⊑ Car ⊓ Book
Every city produces something that is both a publication and a transaction.,City ⊑ ∃produces.(Publication ⊓ Transaction)
Each department teaches a food.,Department ⊑ ∃teaches.Food
All cars are defined as a software or a city.,Car ⊑ Software ⊔ City
All banks are books as well as teachers.,Bank ⊑ Book ⊓ Teacher
A doctor is always a account.,Doctor ⊑ Account
Every hospital knows only suppliers.,Hospital ⊑ ∀knows.Supplier
Every company that designs only foods is a service.,Company ⊓ ∀designs.Food ⊑ Service
Every bank is located in at least one device.,Bank ⊑ ∃locatedIn.Device
Every transaction that likes a company is a artist.,Transaction ⊓ ∃likes.Company ⊑ Artist
A food and a city.,Food ⊓ City
A building supervises exclusively companys.,Building ⊑ ∀supervises.Company
Every scientist that works for only universitys is a customer.,Scientist ⊓ ∀worksFor.University ⊑ Customer
A vehicle is something that works for a company.,Vehicle ⊑ ∃worksFor.Company
Nothing that is a cat is a organization.,Cat ⊑ ¬Organization
"If a bank likes anything, it must be a person.",Bank ⊑ ∀likes.Person
Every engineer works for only things that are either a animal or a university.,Engineer ⊑ ∀worksFor.(Animal ⊔ University)
Every cat maintains only things that are either a department or a supplier.,Cat ⊑ ∀maintains.(Department ⊔ Supplier)
A dog cannot be a food.,Dog ⊑ ¬Food
Every animal manages at least one product.,Animal ⊑ ∃manages.Product
Anything that is located in a city also is located in a person.,∃locatedIn.City ⊑ ∃locatedIn.Person
No company is a department.,Company ⊑ ¬Department
Every organization is located in only things that are either a employee or a movie.,Organization ⊑ ∀locatedIn.(Employee ⊔ Movie)
Every software is a machine that owns at least one book.,Software ⊑ Machine ⊓ ∃owns.Book
Every course produces something that is both a invoice and a researcher.,Course ⊑ ∃produces.(Invoice ⊓ Researcher)
A dog is neither a animal nor a vehicle.,Dog ⊑ ¬(Animal ⊔ Vehicle)
Every employee reads something that is both a product and a device.,Employee ⊑ ∃reads.(Product ⊓ Device)
Every car is both a movie and a service.,Car ⊑ Movie ⊓ Service
Every student is a software that creates only musics.,Student ⊑ Software ⊓ ∀creates.Music
Every researcher that knows only hospitals is a school.,Researcher ⊓ ∀knows.Hospital ⊑ School
Nothing that is a project is a researcher.,Project ⊑ ¬Researcher
Every hardware that operates only products is a doctor.,Hardware ⊓ ∀operates.Product ⊑ Doctor
All vehicles are dogs as well as courses.,Vehicle ⊑ Dog ⊓ Course
Every movie reads only things that are either a company or a department.,Movie ⊑ ∀reads.(Company ⊔ Department)
Whatever is both a university and a service is located in a country.,University ⊓ Service ⊑ ∃locatedIn.Country
Anything that teaches a library also teaches a music.,∃teaches.Library ⊑ ∃teaches.Music
No hospital is a book.,Hospital ⊑ ¬Book
Anything that delivers a music also delivers a library.,∃delivers.Music ⊑ ∃delivers.Library
Every invoice owns only cats.,Invoice ⊑ ∀owns.Cat
Whatever is both a product and a service develops a publication.,Product ⊓ Service ⊑ ∃develops.Publication
A supplier is something that reads a library.,Supplier ⊑ ∃reads.Library
A book and a service.,Book ⊓ Service
All teachers are employees as well as musics.,Teacher ⊑ Employee ⊓ Music
Every plant that operates a project is a product.,Plant ⊓ ∃operates.Project ⊑ Product
A student is always a food.,Student ⊑ Food
Every movie treats only teachers.,Movie ⊑ ∀treats.Teacher
Anything that treats a department.,∃treats.Department
A animal is always a department.,Animal ⊑ Department
Every book is a researcher that has child only orders.,Book ⊑ Researcher ⊓ ∀hasChild.Order
Every researcher uses something that is both a vehicle and a supplier.,Researcher ⊑ ∃uses.(Vehicle ⊓ Supplier)
Every artist sells something that is both a bank and a doctor.,Artist ⊑ ∃sells.(Bank ⊓ Doctor)
Nothing that is a teacher is a book.,Teacher ⊑ ¬Book
Every engineer treats at least one plant.,Engineer ⊑ ∃treats.Plant
Every supplier has child only departments.,Supplier ⊑ ∀hasChild.Department
Anything that designs only departments.,∀designs.Department
Every hospital is a city that treats at least one plant.,Hospital ⊑ City ⊓ ∃treats.Plant
Every food that creates only engineers is a plant.,Food ⊓ ∀creates.Engineer ⊑ Plant
Every vehicle is a city that authors only projects.,Vehicle ⊑ City ⊓ ∀authors.Project
A artist cannot be a bank.,Artist ⊑ ¬Bank
Every engineer that maintains a book is a school.,Engineer ⊓ ∃maintains.Book ⊑ School
Anything that knows only persons.,∀knows.Person
Anything that knows a building also knows a bank.,∃knows.Building ⊑ ∃knows.Bank
Every order is both a publication and a car.,Order ⊑ Publication ⊓ Car
A university is always a plant.,University ⊑ Plant
Every doctor buys at least one employee.,Doctor ⊑ ∃buys.Employee
All universitys are departments.,University ⊑ Department
Anything that attends a university.,∃attends.University
Every teacher sells at least one patient.,Teacher ⊑ ∃sells.Patient
No project is a supplier.,Project ⊑ ¬Supplier
Every hardware is a car that operates at least one library.,Hardware ⊑ Car ⊓ ∃operates.Library
Every department is a account that sells at least one doctor.,Department ⊑ Account ⊓ ∃sells.Doctor
Every artist is a order that is located in only accounts.,Artist ⊑ Order ⊓ ∀locatedIn.Account
"If a country attends anything, it must be a supplier.",Country ⊑ ∀attends.Supplier
Every publication is either a product or a country.,Publication ⊑ Product ⊔ Country
A vehicle and a bank.,Vehicle ⊓ Bank
Nothing that is a account is a university.,Account ⊑ ¬University
No scientist is a organization.,Scientist ⊑ ¬Organization
All devices are defined as a hardware or a movie.,Device ⊑ Hardware ⊔ Movie
Every movie that authors a library is a artist.,Movie ⊓ ∃authors.Library ⊑ Artist
Nothing that is a transaction is a plant.,Transaction ⊑ ¬Plant
Every department attends at least one engineer.,Department ⊑ ∃attends.Engineer
All customers are defined as a music or a employee.,Customer ⊑ Music ⊔ Employee
Every artist owns only things that are either a transaction or a building.,Artist ⊑ ∀owns.(Transaction ⊔ Building)
A music is always a researcher.,Music ⊑ Researcher
All hospitals are suppliers as well as librarys.,Hospital ⊑ Supplier ⊓ Library
No city is a person.,City ⊑ ¬Person
Every animal is either a car or a hardware.,Animal ⊑ Car ⊔ Hardware
Every hardware is a dog that has child at least one project.,Hardware ⊑ Dog ⊓ ∃hasChild.Project
Whatever is both a movie and a manager supervises a car.,Movie ⊓ Manager ⊑ ∃supervises.Car
Nothing that is a supplier is a movie.,Supplier ⊑ ¬Movie
Every organization owns something that is both a movie and a supplier.,Organization ⊑ ∃owns.(Movie ⊓ Supplier)
A transaction knows exclusively buildings.,Transaction ⊑ ∀knows.Building
Every manager is located in at least one dog.,Manager ⊑ ∃locatedIn.Dog
Every building likes something that is both a teacher and a food.,Building ⊑ ∃likes.(Teacher ⊓ Food)
All departments are devices as well as managers.,Department ⊑ Device ⊓ Manager
Every manager is a food that reads only doctors.,Manager ⊑ Food ⊓ ∀reads.Doctor
Every company that creates only managers is a device.,Company ⊓ ∀creates.Manager ⊑ Device
Every company is either a cat or a order.,Company ⊑ Cat ⊔ Order
A movie designs exclusively doctors.,Movie ⊑ ∀designs.Doctor
Every machine buys at least one vehicle.,Machine ⊑ ∃buys.Vehicle
"If a hospital teaches anything, it must be a plant.",Hospital ⊑ ∀teaches.Plant
Anything that is located in a publication.,∃locatedIn.Publication
Nothing that is a order is a course.,Order ⊑ ¬Course
A engineer is always a music.,Engineer ⊑ Music
A transaction cannot be a movie.,Transaction ⊑ ¬Movie
A manager or a book.,Manager ⊔ Book
A account is neither a order nor a engineer.,Account ⊑ ¬(Order ⊔ Engineer)
Each software buys a device.,Software ⊑ ∃buys.Device
Every teacher sells at least one device.,Teacher ⊑ ∃sells.Device
A manager and a course.,Manager ⊓ Course
Whatever is both a building and a car maintains a doctor.,Building ⊓ Car ⊑ ∃maintains.Doctor
A department is neither a publication nor a product.,Department ⊑ ¬(Publication ⊔ Product)
Every library likes at least one student.,Library ⊑ ∃likes.Student
Every device that maintains a school is a software.,Device ⊓ ∃maintains.School ⊑ Software
Anything that knows a software.,∃knows.Software
Every library is both a artist and a vehicle.,Library ⊑ Artist ⊓ Vehicle
Whatever is both a bank and a animal manages a book.,Bank ⊓ Animal ⊑ ∃manages.Book
Anything that likes only artists.,∀likes.Artist
A book or a student.,Book ⊔ Student
Every machine that authors only artists is a cat.,Machine ⊓ ∀authors.Artist ⊑ Cat
Every teacher is both a researcher and a project.,Teacher ⊑ Researcher ⊓ Project
No machine is a manager.,Machine ⊑ ¬Manager
A plant is neither a hospital nor a customer.,Plant ⊑ ¬(Hospital ⊔ Customer)
A device or a artist.,Device ⊔ Artist
Anything that has child a account.,∃hasChild.Account
A invoice cannot be a hardware.,Invoice ⊑ ¬Hardware
A animal or a software.,Animal ⊔ Software
Anything that buys a animal.,∃buys.Animal
A product reads exclusively animals.,Product ⊑ ∀reads.Animal
Every book reads only things that are either a customer or a plant.,Book ⊑ ∀reads.(Customer ⊔ Plant)
Every teacher that teaches a country is a cat.,Teacher ⊓ ∃teaches.Country ⊑ Cat
Every invoice is a city.,Invoice ⊑ City
Every car that teaches a building is a book.,Car ⊓ ∃teaches.Building ⊑ Book
